YEAR,DELIVERY_COMPANY,TOTAL_ORDERS,TOTAL_SALES_RM,TOTAL_DELIVERY_FEES_RM,AVERAGE_DELIVERY_FEE_RM,OVERALL_TOTAL_ORDERS
2025,"EasyDrop Hub",62,6306.36,415.40,7.11,387
2025,"LajuFood Rider",59,7021.43,414.80,7.11,388
2025,"Maju Dispatch",59,6752.72,413.10,7.11,289
2025,"FlashRider MY",55,6272.67,368.00,7.11,370
2025,"SwiftDrop KL",50,6238.74,375.40,7.11,351
2025,"PandaMove Express",48,5025.93,339.30,7.11,279
2025,"RotiRoad Express",46,5810.97,312.60,7.11,226
2025,"Halo Courier Eats",46,5168.57,334.80,7.11,297
2026,"FlashRider MY",46,5082.47,303.60,6.83,370
2026,"GoSend City",41,4451.51,293.30,6.83,349
2026,"TapauRunner",39,5019.79,261.40,6.83,367
2026,"PandaMove Express",35,3558.19,240.10,6.83,279
2026,"SwiftDrop KL",35,3617.86,258.80,6.83,351
2026,"Maju Dispatch",34,4310.45,228.50,6.83,289
2026,"Halo Courier Eats",29,3895.94,206.50,6.83,297
2026,"EasyDrop Hub",23,2269.31,150.60,6.83,387
2026,"RotiRoad Express",23,3063.46,145.60,6.83,226
2026,"LajuFood Rider",23,2310.21,151.40,6.83,388
