restaurant_name,category,halal_status,rating,location_area,yr_quarter,order_count,total_revenue,avg_order_value
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2021-Q3,7,1005.26,143.61
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2021-Q4,3,294.8,98.27
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2022-Q1,7,985.66,140.81
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2022-Q2,7,985.3,140.76
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2022-Q3,8,1111.7,138.96
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2022-Q4,3,311.3,103.77
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2023-Q1,7,713.66,101.95
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2023-Q2,8,1171.81,146.48
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2023-Q3,8,1088.34,136.04
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2023-Q4,8,931.7,116.46
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2024-Q1,8,961.6,120.2
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2024-Q2,8,859.3,107.41
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2024-Q3,8,1036.6,129.58
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2024-Q4,9,1034.81,114.98
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2025-Q1,8,1133,141.63
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2025-Q2,9,1092.41,121.38
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2025-Q3,8,856.6,107.08
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2025-Q4,9,864.03,96
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2026-Q1,10,950.52,95.05
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2026-Q2,8,840.5,105.06
"Banana Leaf Junction","Indian Cuisine",HALAL,4.4,"Brickfields",2026-Q3,1,197.4,197.4
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2016-Q3,1,71.8,71.8
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2017-Q1,5,621.7,124.34
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2017-Q3,1,138.4,138.4
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2017-Q4,1,148.4,148.4
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2018-Q1,1,148,148
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2018-Q2,6,797.7,132.95
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2018-Q3,2,262.9,131.45
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2018-Q4,1,140.9,140.9
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2019-Q1,7,883.4,126.2
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2019-Q2,1,139.7,139.7
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2019-Q3,2,271.7,135.85
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2019-Q4,6,786,131
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2020-Q1,2,276.5,138.25
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2020-Q2,7,919.1,131.3
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2020-Q3,3,405.7,135.23
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2020-Q4,7,950.24,135.75
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2021-Q1,2,271.4,135.7
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2021-Q2,7,889.8,127.11
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2021-Q3,8,1031.16,128.9
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2021-Q4,3,414.9,138.3
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2022-Q1,8,1083.8,135.48
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2022-Q2,7,847.3,121.04
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2022-Q3,3,412.5,137.5
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2022-Q4,9,1185.5,131.72
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2023-Q1,8,816.4,102.05
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2023-Q2,8,967.28,120.91
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2023-Q3,9,868.9,96.54
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2023-Q4,8,1363.7,170.46
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2024-Q1,9,982.7,109.19
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2024-Q2,4,456.3,114.08
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2024-Q3,9,1106.9,122.99
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2024-Q4,9,1202.6,133.62
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2025-Q1,9,1061.32,117.92
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2025-Q2,15,1874.51,124.97
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2025-Q3,9,944.66,104.96
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2025-Q4,9,1539.1,171.01
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2026-Q1,10,1197.03,119.7
"Bangkok Basil Table","Thai Kitchen",HALAL,3.9,"Damansara",2026-Q2,10,1108.78,110.88
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2016-Q3,1,122.2,122.2
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2017-Q1,1,141.9,141.9
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2017-Q2,2,268,134
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2017-Q3,1,141.9,141.9
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2017-Q4,1,118.3,118.3
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2018-Q1,1,118.7,118.7
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2018-Q2,3,423,141
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2018-Q3,2,274.9,137.45
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2018-Q4,1,129.9,129.9
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2019-Q1,2,274.9,137.45
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2019-Q2,3,400.1,133.37
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2019-Q3,2,274.9,137.45
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2019-Q4,4,523.5,130.88
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2020-Q1,2,307.8,153.9
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2020-Q2,4,463.6,115.9
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2020-Q3,2,260.7,130.35
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2020-Q4,5,642.4,128.48
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2021-Q1,2,273.5,136.75
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2021-Q2,5,658.2,131.64
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2021-Q3,5,614.5,122.9
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2021-Q4,3,355.1,118.37
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2022-Q1,5,556.1,111.22
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2022-Q2,5,580.6,116.12
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2022-Q3,3,355.1,118.37
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2022-Q4,6,715.8,119.3
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2023-Q1,5,698.4,139.68
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2023-Q2,6,679.2,113.2
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2023-Q3,5,542.2,108.44
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2023-Q4,5,652.5,130.5
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2024-Q1,5,591.7,118.34
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2024-Q2,6,830.7,138.45
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2024-Q3,7,979.8,139.97
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2024-Q4,6,625,104.17
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2025-Q1,7,803.1,114.73
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2025-Q2,6,712.6,118.77
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2025-Q3,7,752.1,107.44
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2025-Q4,9,994.4,110.49
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2026-Q1,7,762.7,108.96
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2026-Q2,7,901.3,128.76
"Brew & Boba Station","Beverage House",HALAL,4.7,"Cheras",2026-Q3,1,113.8,113.8
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2016-Q4,1,102.4,102.4
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2017-Q2,1,49.8,49.8
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2017-Q3,1,121.4,121.4
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2017-Q4,1,69.2,69.2
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2018-Q1,4,307.84,76.96
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2018-Q2,1,129.6,129.6
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2018-Q3,1,69.2,69.2
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2018-Q4,5,410.38,82.08
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2019-Q1,1,69.2,69.2
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2019-Q2,2,179.4,89.7
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2019-Q3,4,242.02,60.51
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2019-Q4,2,179.4,89.7
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2020-Q1,6,542.64,90.44
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2020-Q2,2,130.6,65.3
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2020-Q3,5,440.29,88.06
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2020-Q4,2,157.8,78.9
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2021-Q1,6,437.22,72.87
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2021-Q2,3,281.8,93.93
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2021-Q3,5,434.43,86.89
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2021-Q4,6,473,78.83
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2022-Q1,3,281.8,93.93
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2022-Q2,7,616.82,88.12
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2022-Q3,6,542.62,90.44
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2022-Q4,6,514.38,85.73
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2023-Q1,4,301,75.25
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2023-Q2,6,215.12,35.85
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2023-Q3,7,534.8,76.4
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2023-Q4,7,405.06,57.87
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2024-Q1,7,577.12,82.45
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2024-Q2,7,501.24,71.61
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2024-Q3,7,382.44,54.63
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2024-Q4,8,593.34,74.17
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2025-Q1,7,613.44,87.63
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2025-Q2,8,386.3,48.29
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2025-Q3,8,655,81.88
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2025-Q4,8,540.06,67.51
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2026-Q1,7,370.42,52.92
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2026-Q2,9,757.1,84.12
"Burger Sprint Drive-In","Fast Food Express",HALAL,4.6,"Seremban",2026-Q3,4,325.28,81.32
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2016-Q4,1,123.8,123.8
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2017-Q2,1,66.03,66.03
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2017-Q3,4,163.96,40.99
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2017-Q4,1,69.38,69.38
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2018-Q1,1,39.6,39.6
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2018-Q2,1,27.64,27.64
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2018-Q3,4,110.59,27.65
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2018-Q4,2,124.99,62.5
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2019-Q1,1,44.39,44.39
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2019-Q2,5,407.62,81.52
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2019-Q3,2,119.89,59.95
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2019-Q4,5,282.72,56.54
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2020-Q1,2,105.84,52.92
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2020-Q2,2,135.41,67.71
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2020-Q3,5,182.55,36.51
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2020-Q4,6,394.97,65.83
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2021-Q1,2,114.09,57.05
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2021-Q2,6,286.36,47.73
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2021-Q3,3,227.17,75.72
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2021-Q4,6,275.76,45.96
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2022-Q1,6,456.25,76.04
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2022-Q2,3,192.52,64.17
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2022-Q3,6,325.85,54.31
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2022-Q4,6,247.41,41.24
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2023-Q1,7,473.92,67.7
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2023-Q2,6,434.52,72.42
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2023-Q3,4,183.78,45.95
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2023-Q4,7,564.21,80.6
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2024-Q1,7,360.17,51.45
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2024-Q2,8,580.15,72.52
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2024-Q3,7,374.21,53.46
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2024-Q4,7,458.72,65.53
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2025-Q1,7,436.73,62.39
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2025-Q2,8,483.1,60.39
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2025-Q3,8,520.67,65.08
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2025-Q4,8,582.14,72.77
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2026-Q1,10,728.94,72.89
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2026-Q2,9,501.83,55.76
"Dim Sum Avenue","Chinese Cuisine",NON_HALAL,4.2,"Puchong",2026-Q3,1,29.92,29.92
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2016-Q4,1,110.7,110.7
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2017-Q2,1,51.5,51.5
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2017-Q3,1,52.2,52.2
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2017-Q4,5,746.1,149.22
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2018-Q1,1,51.1,51.1
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2018-Q2,1,54.8,54.8
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2018-Q3,1,50.8,50.8
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2018-Q4,7,964.78,137.83
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2019-Q1,1,50.8,50.8
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2019-Q2,2,105.6,52.8
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2019-Q3,6,943,157.17
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2019-Q4,3,158.8,52.93
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2020-Q1,6,810.31,135.05
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2020-Q2,2,90,45
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2020-Q3,7,1021.1,145.87
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2020-Q4,2,103.5,51.75
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2021-Q1,8,1035.3,129.41
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2021-Q2,3,163.9,54.63
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2021-Q3,7,833.23,119.03
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2021-Q4,7,1039.5,148.5
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2022-Q1,3,156.8,52.27
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2022-Q2,9,1024.7,113.86
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2022-Q3,7,808.73,115.53
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2022-Q4,8,1075.8,134.48
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2023-Q1,4,422.1,105.53
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2023-Q2,8,1067.27,133.41
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2023-Q3,8,1028.5,128.56
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2023-Q4,9,955.85,106.21
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2024-Q1,9,1307.8,145.31
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2024-Q2,8,955.5,119.44
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2024-Q3,9,1022.1,113.57
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2024-Q4,10,1363.13,136.31
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2025-Q1,8,1227.37,153.42
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2025-Q2,10,1271.1,127.11
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2025-Q3,10,1099.1,109.91
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2025-Q4,9,1408.9,156.54
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2026-Q1,9,1150.7,127.86
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2026-Q2,11,1332.7,121.15
"Gelato & Waffle Room","Dessert Cafe",HALAL,4.5,"Bangsar South",2026-Q3,5,445.3,89.06
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2016-Q3,1,94,94
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2017-Q1,1,48,48
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2017-Q2,4,462.37,115.59
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2017-Q3,1,57.4,57.4
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2017-Q4,1,57.1,57.1
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2018-Q1,1,60.7,60.7
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2018-Q2,1,49.2,49.2
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2018-Q3,5,570.95,114.19
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2018-Q4,2,132.2,66.1
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2019-Q1,1,73.9,73.9
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2019-Q2,6,600.4,100.07
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2019-Q3,2,166.8,83.4
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2019-Q4,6,574.87,95.81
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2020-Q1,2,154.9,77.45
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2020-Q2,6,496.37,82.73
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2020-Q3,2,120.9,60.45
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2020-Q4,7,670.2,95.74
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2021-Q1,2,97.1,48.55
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2021-Q2,7,625.57,89.37
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2021-Q3,3,215.1,71.7
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2021-Q4,6,607.96,101.33
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2022-Q1,7,708.73,101.25
"Kampung Corner Deli","Malay Cuisine",HALAL,4.8,"Shah Alam",2022-Q2,4,280.1,70.03
