member_id,member_type,member_status,cohort_year,registration_date,last_order_date,recency_days,total_orders,total_revenue,avg_order_value,risk_tier,churn_score
64,NORMAL,ACTIVE,2021,2021-11-09,2026-05-06,75,31,3462.77,28.62,"Medium",1.1
85,VIP,ACTIVE,2023,2023-01-06,2026-05-16,65,24,2728.63,27.29,"Medium",1.1
82,NORMAL,ACTIVE,2024,2024-03-10,2026-05-08,73,23,2570.12,29.54,"Medium",1.1
37,NORMAL,ACTIVE,2019,2019-09-25,2026-04-25,86,38,2541.92,24.68,"Medium",1.1
76,NORMAL,ACTIVE,2023,2023-11-29,2026-05-07,74,24,2180.26,30.28,"Medium",1.1
67,NORMAL,ACTIVE,2022,2022-01-17,2026-05-13,68,35,2147.13,23.86,"Medium",1.1
79,NORMAL,ACTIVE,2024,2024-01-19,2026-05-15,66,26,2120.05,28.65,"Medium",1.1
94,NORMAL,ACTIVE,2025,2025-02-28,2026-05-25,56,11,1166.55,29.91,"Low",1.2
81,NORMAL,ACTIVE,2024,2024-02-22,2026-06-04,46,24,2699.45,26.73,"Low",1.1
84,NORMAL,ACTIVE,2024,2024-04-13,2026-06-12,38,22,2619.42,27.57,"Low",1.1
75,NORMAL,ACTIVE,2022,2022-07-20,2026-06-04,46,25,2060.26,26.76,"Low",1.1
57,NORMAL,ACTIVE,2020,2020-02-25,2026-06-01,49,32,1939.93,23.09,"Low",1.1
72,NORMAL,ACTIVE,2022,2022-05-12,2026-06-11,39,21,1769.75,29.5,"Low",1.1
90,NORMAL,ACTIVE,2023,2023-04-01,2026-06-13,37,12,1538.22,30.76,"Low",1.1
3,NORMAL,ACTIVE,2016,2016-02-21,2026-05-25,56,85,11583.76,44.04,"Low",1
18,NORMAL,ACTIVE,2017,2017-12-09,2026-06-08,42,68,10666.14,49.84,"Low",1
15,VIP,ACTIVE,2016,2016-09-12,2026-06-04,46,79,8674.25,30.33,"Low",1
6,NORMAL,ACTIVE,2016,2016-04-12,2026-05-23,58,85,8604.12,29.17,"Low",1
9,NORMAL,ACTIVE,2016,2016-06-02,2026-05-27,54,78,7631.07,28.69,"Low",1
23,NORMAL,ACTIVE,2017,2017-03-19,2026-06-17,33,54,7391.09,44.79,"Low",1
25,VIP,ACTIVE,2017,2017-04-26,2026-05-23,58,66,7354.56,28.73,"Low",1
21,NORMAL,ACTIVE,2017,2017-02-09,2026-06-12,38,71,7067.98,28.27,"Low",1
12,NORMAL,ACTIVE,2016,2016-07-23,2026-05-31,50,74,7020.76,29.62,"Low",1
24,VIP,ACTIVE,2017,2017-04-07,2026-06-16,34,69,6860.5,28.47,"Low",1
11,NORMAL,ACTIVE,2016,2016-07-06,2026-06-15,35,64,6253.21,28.17,"Low",1
34,NORMAL,ACTIVE,2019,2019-08-17,2026-05-27,54,49,4984.18,30.03,"Low",1
88,NORMAL,ACTIVE,2023,2023-02-26,2026-06-19,31,26,4497.48,47.34,"Low",1
70,VIP,ACTIVE,2022,2022-03-27,2026-06-12,38,38,4375.09,29.76,"Low",1
63,NORMAL,ACTIVE,2021,2021-10-17,2026-06-02,48,33,4318.67,46.44,"Low",1
51,NORMAL,ACTIVE,2019,2019-12-21,2026-06-08,42,43,4156.52,28.86,"Low",1
54,NORMAL,ACTIVE,2020,2020-01-23,2026-06-08,42,40,3919.36,28.82,"Low",1
61,NORMAL,ACTIVE,2021,2021-09-01,2026-06-08,42,35,3684.95,27.5,"Low",1
78,NORMAL,ACTIVE,2024,2024-01-02,2026-06-19,31,24,3301.8,47.85,"Low",1
66,NORMAL,ACTIVE,2021,2021-12-25,2026-06-10,40,31,3117.47,29.14,"Low",1
69,NORMAL,ACTIVE,2022,2022-03-04,2026-06-16,34,32,3103.69,29.01,"Low",1
93,NORMAL,ACTIVE,2025,2025-02-21,2026-06-21,29,9,1370.67,45.69,"Healthy",1.1
96,NORMAL,ACTIVE,2025,2025-03-14,2026-06-27,23,9,1016.96,32.81,"Healthy",1.1
97,NORMAL,ACTIVE,2025,2025-03-21,2026-06-23,27,14,916.39,21.31,"Healthy",1.1
33,NORMAL,ACTIVE,2019,2019-08-04,2026-06-27,23,71,10901.35,46.79,"Healthy",1
8,VIP,ACTIVE,2016,2016-05-16,2026-07-01,19,53,8833.82,48.01,"Healthy",1
13,NORMAL,ACTIVE,2016,2016-08-09,2026-07-01,19,50,8080.71,46.18,"Healthy",1
38,NORMAL,ACTIVE,2019,2019-10-08,2026-06-26,24,51,8015.95,48.88,"Healthy",1
42,NORMAL,ACTIVE,2018,2018-07-17,2026-07-09,11,68,6889.73,30.62,"Healthy",1
20,VIP,ACTIVE,2017,2017-01-21,2026-06-24,26,59,6834.2,31.21,"Healthy",1
48,VIP,ACTIVE,2019,2019-11-18,2026-07-17,3,40,6753.89,50.03,"Healthy",1
45,NORMAL,ACTIVE,2018,2018-08-25,2026-07-13,7,63,6502.25,29.03,"Healthy",1
5,VIP,ACTIVE,2016,2016-03-26,2026-06-23,27,55,6341.04,28.82,"Healthy",1
53,NORMAL,ACTIVE,2020,2020-01-12,2026-07-06,14,40,5996.13,47.21,"Healthy",1
36,NORMAL,ACTIVE,2019,2019-09-12,2026-07-09,11,64,5970.05,29.55,"Healthy",1
68,NORMAL,ACTIVE,2022,2022-02-09,2026-06-30,20,32,5833.25,49.86,"Healthy",1
39,NORMAL,ACTIVE,2018,2018-06-08,2026-07-05,15,65,5687.56,27.74,"Healthy",1
4,VIP,ACTIVE,2016,2016-03-09,2026-07-12,8,52,5683.13,29.91,"Healthy",1
2,NORMAL,ACTIVE,2016,2016-02-04,2026-06-22,28,53,5311.51,28.71,"Healthy",1
22,NORMAL,ACTIVE,2017,2017-02-28,2026-07-05,15,50,5029.95,29.59,"Healthy",1
14,NORMAL,ACTIVE,2016,2016-08-26,2026-06-23,27,52,4915.97,28.58,"Healthy",1
1,NORMAL,ACTIVE,2016,2016-01-18,2026-07-19,1,48,4913.74,27.45,"Healthy",1
49,NORMAL,ACTIVE,2019,2019-11-29,2026-07-17,3,44,4685.76,28.92,"Healthy",1
50,VIP,ACTIVE,2019,2019-12-10,2026-06-28,22,40,4610.3,30.53,"Healthy",1
31,NORMAL,ACTIVE,2019,2019-07-09,2026-07-09,11,47,4602.73,28.77,"Healthy",1
26,NORMAL,ACTIVE,2017,2017-05-15,2026-07-09,11,43,4586.91,30.38,"Healthy",1
44,NORMAL,ACTIVE,2018,2018-08-12,2026-07-17,3,42,4475.66,29.25,"Healthy",1
35,VIP,ACTIVE,2019,2019-08-30,2026-07-13,7,44,4362.78,29.09,"Healthy",1
41,NORMAL,ACTIVE,2018,2018-07-04,2026-07-04,16,38,4037.18,27.84,"Healthy",1
65,VIP,ACTIVE,2021,2021-12-02,2026-07-07,13,34,3934.48,27.71,"Healthy",1
7,NORMAL,ACTIVE,2016,2016-04-29,2026-07-20,0,51,3820.1,24.33,"Healthy",1
32,NORMAL,ACTIVE,2019,2019-07-22,2026-06-25,25,37,3755.05,30.78,"Healthy",1
83,NORMAL,ACTIVE,2024,2024-03-27,2026-07-09,11,27,3712.97,46.41,"Healthy",1
62,NORMAL,ACTIVE,2021,2021-09-24,2026-06-29,21,30,3400.75,30.1,"Healthy",1
17,NORMAL,ACTIVE,2017,2017-11-20,2026-07-05,15,48,3355.32,25.23,"Healthy",1
56,NORMAL,ACTIVE,2020,2020-02-14,2026-06-28,22,34,3219.6,30.37,"Healthy",1
86,NORMAL,ACTIVE,2023,2023-01-23,2026-07-17,3,27,2850.72,29.09,"Healthy",1
59,NORMAL,ACTIVE,2020,2020-03-18,2026-07-06,14,34,2802.32,29.5,"Healthy",1
47,NORMAL,ACTIVE,2019,2019-11-07,2026-07-05,15,44,2723.38,23.28,"Healthy",1
74,NORMAL,ACTIVE,2022,2022-06-27,2026-07-01,19,25,2058.22,28.19,"Healthy",1
71,NORMAL,ACTIVE,2022,2022-04-19,2026-07-08,12,24,2037.61,28.3,"Healthy",1
80,VIP,ACTIVE,2024,2024-02-05,2026-07-16,4,22,2033.95,31.29,"Healthy",1
77,NORMAL,ACTIVE,2023,2023-12-16,2026-07-09,11,25,1704.4,23.03,"Healthy",1
87,NORMAL,ACTIVE,2023,2023-02-09,2026-06-23,27,24,1359.44,21.58,"Healthy",1
95,VIP,ACTIVE,2025,2025-03-07,2026-07-11,9,13,1324.56,30.1,"Healthy",1
92,NORMAL,ACTIVE,2025,2025-02-14,2026-07-18,2,14,1122.15,29.53,"Healthy",1
