pv_quarter,voucher_type,day_flag,order_count,discount_given,gross_revenue,roi_multiple
2024-Q3,PERCENT,REGULAR,32,419.9,2945,7.01
2024-Q4,FIXED,HOLIDAY,1,0,86.8,
2024-Q4,FIXED,REGULAR,97,254,10566.2,41.6
2024-Q4,FREE_DELIVERY,REGULAR,26,127.6,3081.7,24.15
2024-Q4,PERCENT,HOLIDAY,1,0,17.6,
2024-Q4,PERCENT,REGULAR,35,567.28,4002.22,7.06
2025-Q1,FIXED,REGULAR,104,266,12342.5,46.4
2025-Q1,FREE_DELIVERY,HOLIDAY,1,0,31.6,
2025-Q1,FREE_DELIVERY,REGULAR,23,119.3,2392.2,20.05
2025-Q1,PERCENT,HOLIDAY,3,34.17,428.93,12.55
2025-Q1,PERCENT,REGULAR,33,436.58,3266.82,7.48
2025-Q2,FIXED,REGULAR,105,253,11659.9,46.09
2025-Q2,FREE_DELIVERY,HOLIDAY,1,6.5,44.2,6.8
2025-Q2,FREE_DELIVERY,REGULAR,26,146.3,2511.6,17.17
2025-Q2,PERCENT,REGULAR,38,471.49,3482.91,7.39
2025-Q3,FIXED,HOLIDAY,1,8,84.1,10.51
2025-Q3,FIXED,REGULAR,107,303,11006,36.32
2025-Q3,FREE_DELIVERY,HOLIDAY,1,0,135.6,
2025-Q3,FREE_DELIVERY,REGULAR,24,128.8,2831.3,21.98
2025-Q3,PERCENT,REGULAR,38,487.21,3646.79,7.49
2025-Q4,FIXED,REGULAR,113,295,13042.1,44.21
2025-Q4,FREE_DELIVERY,REGULAR,29,156.7,2925.9,18.67
2025-Q4,PERCENT,REGULAR,38,497.47,3583.43,7.2
2026-Q1,FIXED,HOLIDAY,1,0,100.3,
2026-Q1,FIXED,REGULAR,108,298,12288.5,41.24
2026-Q1,FREE_DELIVERY,REGULAR,28,167.2,3190.4,19.08
2026-Q1,PERCENT,REGULAR,40,536.66,3970.74,7.4
2026-Q2,FIXED,HOLIDAY,1,0,123.8,
2026-Q2,FIXED,REGULAR,116,305,11980,39.28
2026-Q2,FREE_DELIVERY,REGULAR,29,147.3,3204.1,21.75
2026-Q2,PERCENT,REGULAR,42,571.45,4218.35,7.38
2026-Q3,FIXED,REGULAR,22,42,2221.2,52.89
2026-Q3,FREE_DELIVERY,REGULAR,4,24.5,462.1,18.86
2026-Q3,PERCENT,REGULAR,8,94.22,729.28,7.74
